EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,6,5,4,6,5,6,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,4,7,4,4,6,5,6,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,4,7,6,4,6,6,6,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,4,7,6,4,6,6,6,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,5,7,5,4,7,4,6,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
6,5,7,5,4,7,6,7,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
7,5,7,7,4,6,5,7,5,11,noor; töö; emil; doktor; jooksma; tennis; laur
6,5,6,7,5,5,3,7,6,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,6,6,7,6,5,5,7,7,11,noor; töö; doktor; emil; jooksma; tennis; laur
5,6,6,7,6,5,6,7,7,11,noor; töö; doktor; emil; jooksma; tennis; laur
5,6,6,7,6,5,5,7,7,11,noor; töö; doktor; emil; jooksma; tennis; laur
