EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,7,10,7,11,10,11,6,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,9,7,10,7,10,9,11,5,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,9,7,11,7,10,9,11,6,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,9,8,11,9,10,9,11,5,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,8,9,11,10,10,9,10,6,15,laimre; tudengifilm; tartu; anders; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; kuraator
9,8,10,11,10,10,9,11,6,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
9,9,9,10,11,11,11,10,6,15,laimre; tudengifilm; tartu; anders; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; kuraator
6,9,11,12,11,8,9,10,6,15,laimre; tudengifilm; tartu; anders; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; kuraator
5,8,10,12,11,8,8,8,9,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
5,6,10,11,12,6,8,8,10,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
4,6,10,11,12,7,7,8,10,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
