EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,8,6,8,8,7,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,8,7,8,6,8,8,7,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,8,7,8,5,8,8,7,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,8,7,8,5,8,8,8,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,8,8,8,5,8,8,8,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,8,8,8,7,7,8,8,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,8,8,7,8,8,8,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,8,8,8,8,8,7,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,8,8,8,8,8,8,7,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,8,8,8,8,8,8,8,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,8,8,8,8,8,8,8,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
