EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,4,4,3,4,4,3,4,10,sihtrühm; fbi; strateegia; ahnus
4,3,4,4,3,4,4,3,4,10,sihtrühm; fbi; strateegia; ahnus
4,3,4,4,3,4,4,4,4,10,sihtrühm; fbi; strateegia; ahnus
4,3,4,4,3,4,4,4,4,10,sihtrühm; fbi; strateegia; ahnus
4,3,4,4,3,4,4,4,4,10,sihtrühm; fbi; strateegia; ahnus
4,3,4,4,4,4,4,4,4,10,sihtrühm; fbi; strateegia; ahnus
3,4,4,3,4,4,4,4,4,10,sihtrühm; fbi; strateegia; ahnus
3,4,4,3,4,4,4,4,4,10,sihtrühm; fbi; strateegia; ahnus
3,4,4,4,4,4,3,4,4,10,sihtrühm; fbi; strateegia; ahnus
3,4,4,4,4,4,3,4,4,10,sihtrühm; fbi; strateegia; ahnus
3,4,4,3,4,4,3,3,4,10,sihtrühm; fbi; strateegia; ahnus
