EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,5,5,6,6,7,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
6,6,5,5,5,6,6,7,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,6,5,5,5,6,6,7,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
7,6,6,6,5,6,7,6,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
7,6,4,6,5,6,7,6,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,6,6,6,5,7,7,7,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,6,6,5,5,7,6,7,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,6,6,7,5,7,7,7,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,6,7,7,5,7,6,7,7,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
3,5,6,7,4,7,5,6,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
3,6,6,7,5,7,5,6,6,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
