EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,6,4,5,5,5,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,5,5,6,4,5,5,5,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,5,6,6,4,5,5,5,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
5,5,6,6,3,5,5,5,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
5,4,6,6,3,5,5,5,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
3,4,6,5,3,5,5,5,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,3,6,5,2,4,5,5,3,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,5,5,4,1,5,2,4,4,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,3,5,3,5,3,4,5,2,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,4,5,3,5,1,1,5,3,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
4,5,6,3,5,4,2,5,6,11,haapsalu; raadio; viktoriin; estraadiorkester; varietee; muusikasaadete
