EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,8,6,7,5,8,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
7,7,6,8,6,7,5,8,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
8,7,7,8,7,7,4,8,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
8,7,5,8,7,7,4,8,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
8,7,6,8,7,8,6,8,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
7,7,7,9,6,6,7,8,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
9,9,7,9,7,6,6,7,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
8,7,5,7,7,6,6,8,5,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
7,8,6,6,8,5,6,7,5,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
8,7,6,6,8,6,7,5,4,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
7,6,8,7,9,5,7,6,5,11,partii; olümpia; keres; paide; treener; male; maleklubi; võistkond; paul
