EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,4,7,6,5,6,6,7,12,hõff; pevkur; gruusia; eelarve; jaapan; hanno; haigekassa; regilaul; isamaa; euroopa; sammas
9,7,5,7,6,5,6,6,7,12,hõff; pevkur; gruusia; eelarve; jaapan; hanno; haigekassa; regilaul; isamaa; euroopa; sammas
10,7,5,7,6,5,5,8,7,12,hõff; pevkur; gruusia; eelarve; jaapan; hanno; haigekassa; regilaul; isamaa; euroopa; sammas
10,7,5,7,6,6,6,8,7,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
11,7,8,8,6,5,7,9,7,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
9,8,10,6,8,8,7,9,7,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
7,7,9,9,9,8,6,10,7,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
6,5,9,9,9,8,5,10,7,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
6,4,10,8,9,6,6,8,7,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
6,6,9,8,11,6,7,10,9,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
6,5,10,8,9,7,8,9,9,12,hõff; gruusia; eelarve; jaapan; regilaul; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
