EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,3,2,5,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
3,3,2,3,2,5,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
3,3,2,3,2,5,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
3,3,2,3,2,5,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
3,3,2,2,2,5,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,3,1,2,2,5,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
3,3,2,3,2,3,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,1,3,3,2,4,5,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,1,4,3,2,3,3,3,1,12,indoeuroopa; regivärss; keel; sõna; rahvakeel
2,2,3,4,2,1,2,2,1,12,indoeuroopa; regivärss; keel; sõna; rahvakeel
2,2,3,3,1,1,1,3,1,12,indoeuroopa; regivärss; keel; sõna; rahvakeel
