EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,10,10,6,10,8,7,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,10,9,6,10,9,8,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,9,9,6,10,9,8,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,10,9,6,10,8,8,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
11,11,9,8,6,10,8,9,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,11,7,6,9,9,9,9,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,8,10,7,6,8,8,10,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,8,10,9,6,9,7,8,8,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,8,10,8,7,9,7,9,9,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,9,10,8,8,6,7,8,9,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,9,9,8,8,7,8,10,11,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
