EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,5,5,6,7,7,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,6,7,5,5,6,7,7,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,6,7,5,5,6,7,7,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,6,7,5,5,6,7,7,5,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
7,4,7,5,5,6,7,6,5,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
7,6,6,5,5,5,6,6,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
5,6,6,5,5,6,6,6,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
5,4,5,5,5,6,6,6,5,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
4,5,6,6,6,6,6,5,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,6,5,6,6,5,5,6,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
4,6,6,6,6,5,5,6,4,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
