EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,1,6,6,6,4,6,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
7,7,3,6,6,6,5,5,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
7,7,5,6,6,6,6,5,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
7,6,6,6,7,6,6,4,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
6,6,7,6,7,6,6,4,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
6,7,7,6,7,5,6,4,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
6,7,7,7,7,5,7,7,5,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
6,7,7,5,7,5,7,6,6,11,juured; rahvatants; jüri; tallinn; kirjandus; tartu; arrak
7,7,7,5,6,5,7,6,6,11,juured; rahvatants; jüri; tallinn; kirjandus; tartu; arrak
5,7,6,6,7,5,6,6,6,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
6,7,7,6,6,5,7,7,7,11,juured; rahvatants; jüri; tallinn; kirjandus; tartu; arrak
