EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,7,4,8,6,10,11,10,4,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
12,7,4,8,8,9,10,11,4,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
12,6,5,8,8,8,10,11,5,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
12,7,6,8,8,8,10,10,5,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
12,7,6,8,8,8,10,11,5,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
10,7,12,9,9,8,11,10,5,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
6,8,10,6,9,9,9,9,5,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
6,7,11,6,9,9,9,9,6,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
3,8,10,8,9,7,9,11,5,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
4,6,11,7,10,9,6,11,6,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
4,8,12,8,11,10,4,8,6,14,rapla; ugala; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
