EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,2,7,5,3,6,3,3,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
6,5,4,7,5,3,5,3,3,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
7,5,5,7,5,4,5,6,3,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
6,6,5,7,5,5,5,6,3,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
7,6,6,7,5,5,7,6,3,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
3,6,5,6,5,5,7,6,4,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
5,7,7,4,6,5,7,5,4,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
7,5,7,4,7,6,6,7,5,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
7,4,6,5,7,7,7,7,6,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
6,6,6,6,7,6,6,3,4,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
6,3,7,6,6,6,8,3,9,14,autor; kanada; hint; aadu; saaremaa; liibris; raamatukogu; käekiri; saar
