EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,4,3,6,6,5,7,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,5,3,6,6,5,7,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,6,3,6,6,5,7,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,6,4,7,7,5,6,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,8,7,4,7,7,6,7,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
7,7,7,5,7,7,7,6,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
7,7,6,5,6,8,7,6,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,6,5,5,6,6,8,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
3,6,7,4,5,6,5,7,8,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
2,8,6,5,5,6,5,6,7,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
2,6,5,5,5,6,7,6,7,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
