EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,1,4,4,3,2,4,4,13,maksimeerimine; kasumi; reguleerimata; masside
4,4,1,4,4,3,2,4,4,13,maksimeerimine; kasumi; reguleerimata; masside
4,4,2,3,4,4,2,3,4,13,maksimeerimine; kasumi; reguleerimata; masside
4,4,2,3,4,4,2,3,4,13,maksimeerimine; kasumi; reguleerimata; masside
4,4,4,4,4,4,2,3,4,13,maksimeerimine; kasumi; reguleerimata; masside
3,4,4,4,4,4,2,3,4,13,reguleerimata; masside; maksimeerimine; kasumi
4,4,4,4,4,4,2,3,4,13,maksimeerimine; kasumi; reguleerimata; masside
3,4,4,4,4,4,4,4,4,13,reguleerimata; masside; maksimeerimine; kasumi
3,4,4,4,3,4,3,4,3,13,reguleerimata; masside; maksimeerimine; kasumi
4,4,4,4,4,4,3,4,3,13,maksimeerimine; kasumi; reguleerimata; masside
4,4,4,4,4,4,3,4,2,13,maksimeerimine; kasumi; reguleerimata; masside
