EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,4,2,2,0,2,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
4,4,3,4,2,2,1,2,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
4,4,3,4,2,2,1,2,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
4,4,3,4,2,2,2,4,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
4,4,3,4,2,2,3,5,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
4,4,3,4,2,4,3,5,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
3,4,5,4,3,3,4,5,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
1,3,5,3,3,2,2,4,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
1,3,5,3,4,2,3,4,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
1,2,4,3,4,3,2,4,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
2,4,5,4,4,3,3,4,2,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
