EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,11,12,12,8,5,12,11,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,11,12,12,8,6,12,11,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,12,12,8,10,12,11,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,11,12,12,12,10,11,12,11,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,11,12,12,12,11,11,12,11,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,12,12,11,11,12,12,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,11,12,11,12,12,11,12,12,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,11,12,12,12,12,12,12,12,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,11,12,11,12,12,12,12,12,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,12,12,12,11,12,12,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,12,12,12,11,12,12,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
