EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,1,0,3,4,4,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
4,5,4,2,2,3,5,4,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
4,4,4,2,2,3,5,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
4,5,4,2,2,3,5,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
3,5,4,2,3,3,5,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
5,4,4,4,3,4,4,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
4,4,4,5,3,4,5,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
3,1,4,4,3,3,2,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
3,1,4,5,4,3,4,4,3,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
3,3,5,4,5,3,3,5,1,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
3,1,4,4,6,3,0,4,4,11,ülekuulamine; morse; hanso; metsavend; elmar; süüdistus
