EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,5,8,6,4,4,5,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,9,5,8,6,4,4,5,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,9,5,8,6,4,4,7,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,10,5,8,7,4,4,8,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,10,8,8,6,5,5,9,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
10,9,9,9,6,8,5,8,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
10,10,11,11,8,6,8,9,5,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
10,10,11,10,10,7,10,11,6,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,9,11,10,9,7,11,8,7,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
7,9,10,10,9,7,10,10,9,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
7,8,9,9,10,8,10,8,8,15,one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
