EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,5,7,4,9,6,7,6,13,film; masnikova; prototüüp; stalin; tuhkatriinu; varvara; nõukogude; propagandafilm; chapaev
8,7,5,7,6,9,6,7,6,13,film; masnikova; prototüüp; stalin; tuhkatriinu; varvara; nõukogude; propagandafilm; chapaev
8,7,5,7,6,9,6,6,6,13,film; masnikova; prototüüp; stalin; tuhkatriinu; varvara; nõukogude; propagandafilm; chapaev
8,7,6,6,7,9,7,7,6,13,film; masnikova; prototüüp; stalin; tuhkatriinu; varvara; nõukogude; propagandafilm; chapaev
9,7,8,6,7,9,6,6,6,13,film; masnikova; prototüüp; stalin; tuhkatriinu; varvara; nõukogude; propagandafilm; chapaev
8,7,9,6,8,8,7,8,6,13,film; masnikova; prototüüp; stalin; tuhkatriinu; varvara; nõukogude; propagandafilm; chapaev
7,8,7,8,8,8,8,5,6,13,film; masnikova; prototüüp; tuhkatriinu; stalin; varvara; nõukogude; propagandafilm; chapaev
7,8,9,9,8,6,8,8,7,13,film; masnikova; prototüüp; tuhkatriinu; stalin; varvara; nõukogude; propagandafilm; chapaev
5,7,8,9,8,7,8,6,7,13,film; masnikova; prototüüp; tuhkatriinu; stalin; nõukogude; varvara; propagandafilm; chapaev
4,6,6,9,8,6,8,6,6,13,film; masnikova; prototüüp; tuhkatriinu; stalin; nõukogude; varvara; propagandafilm; chapaev
4,4,7,9,8,7,6,7,7,13,film; masnikova; prototüüp; tuhkatriinu; stalin; nõukogude; varvara; propagandafilm; chapaev
