EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,7,7,8,7,7,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,8,7,8,7,8,7,7,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,7,7,8,7,7,7,10,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,7,10,8,7,7,7,10,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,9,10,8,7,7,7,9,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,6,11,10,7,9,8,9,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,6,9,8,6,7,7,10,6,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; keeld; tõnis; george
9,5,10,11,8,10,8,10,6,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; keeld; tõnis; george
6,8,10,11,10,8,10,10,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
5,8,8,11,8,9,11,10,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; keeld; tõnis; hellar; george
7,6,9,10,9,9,8,9,5,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; keeld; tõnis; hellar; george
