EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,7,6,5,6,6,8,7,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,5,8,6,6,7,6,8,7,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,5,8,7,6,7,6,8,7,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,5,8,8,6,7,6,8,7,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,5,8,8,6,7,7,8,7,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,5,7,8,6,7,8,8,7,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,6,7,8,7,8,8,8,8,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
8,5,8,8,8,8,8,8,8,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,6,8,8,6,8,8,8,7,13,surmapatt; hüpertroofia; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,6,8,8,7,8,8,8,8,13,surmapatt; hüpertroofia; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
6,6,7,7,7,8,7,8,6,13,surmapatt; hüpertroofia; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
