EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,8,5,4,7,3,6,7,13,laps; mõrane; betti; lesk; peegel; kurat; rätsep; tütarlaste
6,6,8,6,4,7,3,6,7,13,laps; mõrane; betti; lesk; peegel; kurat; rätsep; tütarlaste
6,6,8,6,4,7,5,6,7,13,laps; mõrane; betti; lesk; peegel; kurat; rätsep; tütarlaste
6,6,8,6,4,7,5,6,7,13,laps; mõrane; betti; lesk; peegel; kurat; rätsep; tütarlaste
8,7,8,5,4,7,7,6,7,13,rätsep; laps; mõrane; betti; lesk; peegel; kurat; tütarlaste
8,7,7,6,4,8,6,6,7,13,rätsep; laps; mõrane; betti; lesk; peegel; kurat; tütarlaste
6,6,6,6,4,8,6,6,7,13,rätsep; laps; mõrane; betti; lesk; peegel; kurat; tütarlaste
6,6,6,4,4,6,5,8,6,13,laps; mõrane; kurat; betti; lesk; peegel; rätsep; tütarlaste
5,7,5,2,5,6,6,7,4,13,laps; mõrane; kurat; betti; lesk; peegel; rätsep; tütarlaste
6,7,8,3,5,6,5,7,4,13,laps; mõrane; kurat; betti; lesk; peegel; rätsep; tütarlaste
7,5,7,2,4,6,5,7,5,13,laps; mõrane; kurat; betti; lesk; peegel; rätsep; tütarlaste
