EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,5,5,7,4,4,7,8,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
8,10,5,5,7,4,5,7,8,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
8,9,6,4,8,5,5,7,8,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
8,9,5,5,8,4,6,8,6,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
9,10,6,6,10,4,5,8,7,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
7,8,6,6,10,6,7,9,8,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
5,5,5,7,9,7,6,7,8,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
7,7,6,8,9,10,6,7,7,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
6,6,6,9,9,7,7,7,7,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
5,5,8,9,9,8,6,6,6,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
5,7,10,8,9,7,6,8,7,14,napoleon; monogramm; loss; esimene; trepp; õukond; pariis; françois; favoriit; kuninglik; renessanss
