EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,10,6,9,7,9,4,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,9,10,7,9,8,9,4,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,9,10,7,10,9,9,4,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,10,10,7,10,9,9,4,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,10,10,7,10,10,9,4,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,10,10,7,10,10,10,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,9,10,10,7,10,10,10,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
10,9,10,9,8,10,10,10,7,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
9,10,10,9,9,10,10,10,8,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
9,10,10,9,10,10,10,10,10,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
9,9,10,9,10,10,10,10,10,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
