EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,3,5,1,4,6,4,4,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
7,5,3,5,1,5,6,4,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
7,6,3,5,2,6,6,4,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
6,6,4,6,3,6,6,4,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
6,6,4,6,3,6,6,5,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
6,5,4,6,4,6,7,6,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
4,4,6,8,4,7,8,4,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
4,7,6,8,4,6,7,5,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
4,3,6,6,7,7,7,7,5,13,presidendi; julgus; moekunstnik; vaimuinimene; tindur; liivia; muusika; haapsalu; disainima
4,8,7,4,6,6,6,7,6,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
4,6,8,5,6,7,7,6,5,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
