EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
17,16,11,8,12,8,6,9,11,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
17,16,11,8,12,8,6,9,11,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
17,16,11,8,13,8,8,10,11,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
16,16,11,8,14,8,8,10,12,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
17,15,13,9,15,8,9,11,12,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
14,16,13,10,17,11,8,11,12,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
14,13,15,16,18,13,8,16,13,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
15,16,15,16,18,10,11,15,13,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
11,15,15,16,18,14,13,16,13,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
13,13,17,16,18,13,12,14,14,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
10,12,14,15,17,11,14,13,15,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
