EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,8,11,5,9,9,10,7,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,9,8,11,5,9,9,10,8,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,8,8,11,5,8,8,10,8,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,9,6,11,5,8,9,10,8,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,9,8,12,6,7,9,11,10,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,10,11,12,6,8,7,12,10,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,8,10,12,6,8,8,11,9,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
8,13,9,11,9,9,9,12,10,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
6,12,8,11,10,7,10,10,9,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,11,7,12,13,7,10,8,10,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,8,8,11,11,4,11,8,12,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
