EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
9,9,9,9,9,9,9,9,9,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
