EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,7,3,8,8,7,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
9,8,7,7,3,8,8,7,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
9,8,8,7,2,9,8,7,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
9,8,8,7,2,9,8,6,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
9,7,8,7,2,8,8,9,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
9,8,7,7,3,7,10,7,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
8,9,6,8,5,10,8,7,6,15,suure-jaani; erakond; kirik; mälestuspark; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
9,9,6,8,6,8,8,5,7,15,suure-jaani; erakond; mälestuspark; kirik; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
8,9,8,9,5,8,9,5,6,15,suure-jaani; erakond; mälestuspark; kirik; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
8,10,6,8,8,6,7,7,7,15,suure-jaani; erakond; mälestuspark; kirik; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
8,8,6,9,10,7,8,5,6,15,suure-jaani; erakond; mälestuspark; kirik; muusikafestival; eelarve; sotsiaaldemokraatlik; liit; tartu; euroopa; lennupäevad
