EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,6,7,6,7,7,8,5,11,raamat; kirjanik; furby; võõras; sotsiaalmeedia; olme; lavastus; urmas; vadi
6,3,6,7,5,7,7,8,5,11,raamat; kirjanik; furby; võõras; sotsiaalmeedia; olme; lavastus; urmas; vadi
6,4,7,7,5,7,7,9,5,11,raamat; kirjanik; furby; võõras; sotsiaalmeedia; olme; lavastus; urmas; vadi
6,5,8,7,6,8,9,9,5,11,raamat; kirjanik; furby; võõras; sotsiaalmeedia; olme; lavastus; urmas; vadi
8,5,8,7,6,8,8,9,5,11,raamat; kirjanik; furby; võõras; sotsiaalmeedia; olme; lavastus; urmas; vadi
8,4,8,6,6,7,8,9,5,11,raamat; kirjanik; furby; võõras; sotsiaalmeedia; olme; lavastus; urmas; vadi
8,5,7,4,7,7,9,9,5,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
5,7,8,6,6,9,7,8,4,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
8,6,9,8,6,8,7,9,4,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
6,6,9,7,7,7,6,7,6,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
6,6,9,7,7,7,8,7,8,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
