EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,8,6,8,10,8,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
8,9,7,8,7,9,10,8,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
7,9,7,8,8,9,10,9,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
7,10,6,8,8,9,10,9,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
8,10,7,8,8,10,11,10,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
8,11,9,8,8,11,11,10,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
9,10,9,8,8,11,10,9,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
8,9,10,10,9,11,10,9,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
8,9,9,10,9,11,10,9,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
7,10,10,10,11,11,9,10,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
7,7,10,9,11,11,9,10,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
