EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,1,3,1,2,2,6,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
2,3,2,1,3,1,2,2,6,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
2,4,2,1,4,1,2,2,6,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
2,5,3,1,4,1,2,2,6,12,tammer; loop; playboy; laulasmaa; muusika; abikaasa; habe; austraalia; unu; triatlon
2,5,2,1,4,1,2,2,6,12,tammer; loop; playboy; laulasmaa; muusika; abikaasa; habe; austraalia; unu; triatlon
2,3,4,3,4,3,3,6,6,12,tammer; loop; playboy; laulasmaa; muusika; abikaasa; austraalia; habe; unu; triatlon
1,5,6,5,4,2,2,4,4,12,tammer; loop; playboy; laulasmaa; abikaasa; muusika; austraalia; habe; unu; triatlon
1,3,8,6,4,2,2,6,3,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
0,3,8,6,6,2,2,6,3,12,tammer; loop; playboy; laulasmaa; abikaasa; muusika; austraalia; habe; unu; triatlon
1,2,7,6,7,2,3,6,3,12,tammer; loop; playboy; laulasmaa; austraalia; muusika; habe; abikaasa; unu; triatlon
0,1,7,6,7,3,3,5,2,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; habe; abikaasa; unu; triatlon
