EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,6,6,5,8,8,9,8,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,8,4,6,5,9,10,9,8,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,8,6,6,5,9,10,9,7,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,8,7,7,5,9,11,8,7,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,8,8,7,5,9,10,9,7,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
9,7,8,8,6,9,10,7,7,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,9,9,9,5,9,9,7,8,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
9,6,7,7,6,9,10,8,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
9,7,9,6,6,10,9,8,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
8,7,6,7,8,10,10,7,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
7,8,7,7,7,10,10,8,9,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
