EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,9,2,0,4,6,7,5,11,proovitöö; orkester; lilleäri; laulukoor; näitleja; lapsepõlv; viiul; perekond; kuuskemaa; teater; estonia
3,4,8,2,0,5,6,6,5,11,proovitöö; orkester; lilleäri; laulukoor; näitleja; lapsepõlv; viiul; perekond; kuuskemaa; teater; estonia
3,4,8,2,0,5,6,6,5,11,proovitöö; orkester; lilleäri; laulukoor; näitleja; lapsepõlv; viiul; perekond; kuuskemaa; teater; estonia
4,4,5,2,0,5,6,6,5,11,proovitöö; orkester; lilleäri; laulukoor; lapsepõlv; näitleja; perekond; viiul; kuuskemaa; teater; estonia
4,4,8,3,2,6,5,5,5,11,proovitöö; orkester; lilleäri; laulukoor; lapsepõlv; näitleja; perekond; viiul; kuuskemaa; teater; estonia
3,3,6,4,2,6,5,4,5,11,proovitöö; orkester; lilleäri; laulukoor; näitleja; lapsepõlv; perekond; viiul; kuuskemaa; teater; estonia
4,3,5,7,3,6,2,7,5,11,proovitöö; orkester; lilleäri; laulukoor; näitleja; lapsepõlv; viiul; perekond; kuuskemaa; teater; estonia
5,3,5,8,2,4,2,5,5,11,proovitöö; orkester; lilleäri; viiul; näitleja; lapsepõlv; perekond; laulukoor; kuuskemaa; teater; estonia
5,1,6,8,3,4,2,6,4,11,proovitöö; orkester; lilleäri; viiul; näitleja; laulukoor; perekond; lapsepõlv; kuuskemaa; teater; estonia
5,1,4,7,4,4,2,3,4,11,proovitöö; orkester; lilleäri; viiul; näitleja; perekond; laulukoor; lapsepõlv; kuuskemaa; teater; estonia
6,1,3,7,3,5,2,6,5,11,proovitöö; lilleäri; perekond; viiul; laulukoor; estonia; näitleja; lapsepõlv; kuuskemaa; teater; orkester
