EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,0,0,5,4,3,2,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; furmanov; liit
3,3,3,0,0,5,4,5,2,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; furmanov; liit
3,5,4,0,1,5,3,7,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; furmanov; liit
4,5,4,0,2,4,5,7,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; furmanov; liit
4,5,4,0,2,3,6,6,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
4,4,4,0,3,5,6,5,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
5,4,2,3,4,6,5,5,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
3,4,3,4,5,5,6,5,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
4,4,2,4,5,6,5,6,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
2,3,3,5,5,4,6,5,3,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
2,3,3,4,6,4,6,5,2,13,film; kodusõda; masnikova; prototüüp; stalin; propagandafilm; nõukogu; chapaev; liit
