EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,6,3,5,7,6,5,4,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
4,4,6,3,5,7,6,5,4,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
5,3,6,3,4,7,5,5,4,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
5,3,5,3,4,7,6,5,4,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
5,3,3,3,4,5,6,5,4,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
5,4,3,3,4,5,5,5,4,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
4,5,2,5,4,6,5,6,5,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
4,4,3,5,4,3,2,6,4,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
4,5,2,5,4,4,2,6,4,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
4,6,3,6,5,3,1,4,5,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
4,6,3,6,5,5,1,4,5,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
