EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,6,3,4,6,5,6,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,2,6,3,4,7,5,5,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,2,8,3,4,6,6,6,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,2,8,3,4,6,5,6,9,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
6,2,8,4,4,3,5,5,9,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
5,4,7,4,3,4,5,6,9,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kuulsus; kirjanik; raamatukauplus; kirjastaja
5,3,5,5,2,3,2,5,9,10,häda; käsikiri; kriitika; kuulsus; kirjanik; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
5,3,6,4,3,3,2,4,8,10,häda; käsikiri; kriitika; kuulsus; kirjanik; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
4,5,4,5,4,4,4,3,9,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
4,5,6,4,3,4,3,3,8,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
4,5,6,4,3,3,3,3,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
