EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,4,3,3,3,4,4,3,13,haridus; peeter; provints; balti; tartu
3,2,4,4,3,3,3,4,3,13,haridus; peeter; provints; balti; tartu
3,1,4,4,3,3,3,4,3,13,haridus; peeter; provints; balti; tartu
3,2,4,4,4,3,3,4,3,13,haridus; peeter; provints; balti; tartu
3,2,3,4,4,3,4,4,3,13,haridus; peeter; provints; balti; tartu
3,2,4,4,4,4,4,4,3,13,haridus; peeter; provints; balti; tartu
4,3,3,5,4,4,4,4,3,13,haridus; peeter; provints; balti; tartu
4,3,4,5,4,4,4,4,3,13,haridus; peeter; provints; balti; tartu
3,2,4,5,5,4,4,4,4,13,haridus; peeter; provints; balti; tartu
4,3,4,5,5,4,4,5,4,13,haridus; peeter; provints; balti; tartu
3,3,4,5,5,4,4,5,3,13,haridus; peeter; provints; balti; tartu
