EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,4,5,4,5,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,7,3,6,4,5,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,8,3,6,4,5,5,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,8,3,6,4,6,5,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,7,7,3,6,3,4,4,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
4,6,5,3,6,4,4,3,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,8,4,6,5,6,4,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
4,8,4,8,5,5,4,6,3,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
4,7,2,6,5,5,5,5,3,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
5,6,4,6,5,6,5,7,4,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
2,5,3,6,6,6,5,10,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
