EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,4,7,4,2,4,9,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,4,4,7,5,2,3,9,7,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,4,5,7,5,3,4,9,7,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,4,7,6,5,3,4,9,7,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,5,8,6,5,5,5,9,7,12,tänutunne; soomaa; vaike; heinamaa; mait; tantsupidu; hing; isetegemine; metsamaa; agu
8,5,7,5,5,5,6,9,7,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,5,8,4,8,6,7,8,7,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
6,4,7,5,7,7,7,7,7,12,tantsupidu; tänutunne; soomaa; hing; vaike; isetegemine; mait; metsamaa; heinamaa; agu
5,4,8,7,7,6,7,9,9,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
3,4,6,7,7,6,8,7,8,12,tantsupidu; tänutunne; hing; soomaa; vaike; isetegemine; mait; metsamaa; heinamaa; agu
3,4,7,7,8,6,6,8,8,12,tantsupidu; tänutunne; hing; soomaa; vaike; isetegemine; mait; metsamaa; heinamaa; agu
