EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,8,8,7,9,9,7,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,8,8,8,7,10,10,7,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,9,7,8,7,10,9,7,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,7,7,8,6,10,10,7,6,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,8,8,9,6,10,10,8,7,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,8,9,9,6,10,10,10,7,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,7,8,8,7,11,8,10,8,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
9,6,6,10,6,11,10,10,7,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
8,7,9,9,7,10,10,9,7,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
7,8,9,8,9,10,9,8,8,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
7,8,9,8,9,10,8,9,9,12,imelaps; kaunis; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
