EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; tulemus; õpe; tulevik; teadlaskollektiiv; elukestev
