EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,11,9,8,10,11,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
12,12,12,11,9,9,10,11,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
12,12,13,11,10,9,11,12,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,11,13,11,10,9,13,12,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,11,13,11,10,11,13,13,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,11,12,11,8,11,13,13,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,12,12,9,13,13,13,8,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,10,11,12,10,13,13,12,9,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,9,11,12,9,12,13,12,11,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,8,11,12,9,12,13,11,11,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,9,11,12,8,12,12,10,10,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
