EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,11,6,8,6,4,7,6,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,6,10,6,8,6,5,7,6,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,6,9,6,8,6,5,7,6,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,6,10,6,8,7,5,7,6,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,7,8,6,8,6,6,7,6,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,7,8,7,8,8,5,9,7,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,7,9,8,8,6,5,8,7,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,6,9,8,7,5,4,9,7,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
8,7,9,9,7,6,4,9,7,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
6,6,8,9,7,5,7,9,8,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
7,7,7,9,9,5,8,8,8,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
