EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,6,0,3,5,5,3,6,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
4,3,7,0,4,6,5,4,6,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
4,3,7,0,4,6,5,3,6,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
3,3,6,0,5,5,5,3,6,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
3,3,5,0,5,5,4,3,6,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
3,3,3,1,5,5,4,3,6,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
2,2,3,5,6,3,4,5,6,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
2,3,4,5,6,3,4,4,6,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
2,4,3,6,7,3,3,5,4,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
1,2,3,6,5,3,2,4,3,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
2,2,3,6,7,4,2,4,3,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
