EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,2,1,4,2,1,1,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
6,5,2,1,4,2,2,1,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
6,5,4,1,3,2,2,1,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
6,5,4,1,4,3,2,2,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
6,5,3,1,4,5,3,2,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
6,6,4,1,3,6,7,3,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
5,6,4,3,6,6,7,4,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
5,6,5,6,6,5,6,4,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
6,4,4,6,6,6,6,4,5,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
5,4,6,7,6,6,6,4,5,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
4,3,6,7,6,6,6,4,4,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
