EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,10,5,7,7,7,5,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
8,8,10,5,8,8,7,5,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
8,9,10,5,8,8,8,6,7,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
8,9,10,5,8,8,9,8,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
8,9,9,6,7,7,8,8,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
8,9,9,6,8,9,8,8,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
7,9,8,7,7,10,8,6,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
6,9,8,8,7,10,9,7,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
7,10,7,8,9,10,10,7,8,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
9,10,8,8,8,10,10,7,10,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
9,9,7,7,8,9,10,8,7,18,thomas; kristjan; watson; port; võrgustik; tehnoloogia; kamazon; arvuti; valitsemine; server; kommentaar
