EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,2,0,2,2,3,1,2,13,muusika; julgus; puhkus; liivia; tindur; president
1,3,2,0,2,2,4,1,2,13,muusika; julgus; puhkus; liivia; tindur; president
1,3,2,0,2,1,4,1,2,13,muusika; julgus; puhkus; liivia; tindur; president
1,3,3,0,2,3,5,1,2,13,muusika; julgus; puhkus; liivia; tindur; president
1,3,2,0,2,3,4,1,2,13,muusika; julgus; puhkus; liivia; tindur; president
1,3,3,0,2,4,3,2,2,13,muusika; julgus; puhkus; liivia; tindur; president
0,2,3,0,2,5,3,3,2,13,muusika; julgus; puhkus; liivia; tindur; president
0,2,2,2,2,4,3,2,2,13,tindur; muusika; julgus; puhkus; liivia; president
0,2,1,2,2,4,3,1,2,13,tindur; muusika; julgus; puhkus; liivia; president
0,1,1,3,1,4,1,1,2,13,muusika; puhkus; liivia; julgus; tindur; president
1,2,2,2,2,3,2,1,2,13,muusika; puhkus; liivia; julgus; tindur; president
