EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
17,17,17,17,17,17,17,17,17,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
