EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,7,10,2,5,5,6,5,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,7,7,9,2,4,5,7,5,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,7,7,9,2,4,5,7,5,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,7,7,9,2,5,4,8,5,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,7,6,9,2,4,3,7,5,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,7,6,9,2,4,5,5,5,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
9,6,6,8,2,4,8,4,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
9,6,6,4,3,5,8,6,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
7,7,4,5,3,5,6,6,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; enesehinnang; aegunud; tarbijalik
8,5,5,5,4,5,7,6,4,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
7,7,5,5,4,6,7,6,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
