EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,8,4,4,3,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
6,6,8,4,4,4,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
6,6,8,4,5,5,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
6,6,8,4,5,7,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
6,5,6,5,5,7,8,7,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
6,5,4,5,4,7,8,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
6,5,4,5,5,7,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
5,5,3,6,5,7,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
5,5,5,5,4,7,7,6,7,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
5,5,4,6,6,6,5,5,8,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
5,5,3,7,5,6,5,5,4,10,äri; ameerika; tähendus; sport; show; meedia; võitlus; euroopa
