EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,9,8,5,6,6,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,7,10,8,5,6,6,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,7,10,8,4,6,6,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,7,9,8,4,6,7,9,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,7,7,8,5,7,6,9,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,7,5,7,5,6,8,10,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
7,8,7,4,4,7,7,7,6,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; lauskmaa; ulrich; jooksma; distants; strateegia; uusorg
8,8,6,7,5,8,8,7,7,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,7,9,5,7,8,8,8,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
9,8,8,8,5,7,9,6,8,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,8,8,6,7,9,7,9,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
