EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,4,2,1,4,7,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,1,4,2,1,4,7,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,1,4,2,1,4,7,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,1,4,2,1,4,7,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,1,4,2,1,4,7,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,1,2,2,1,4,7,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
0,1,2,2,1,4,6,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
0,1,3,1,2,4,6,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
0,1,4,1,2,4,6,2,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
0,1,4,1,2,3,4,3,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
2,1,3,2,2,3,5,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
