EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
4,2,2,2,3,3,3,4,0,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
