EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,2,2,1,2,3,4,4,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
6,3,2,2,1,2,3,4,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
6,3,2,2,1,2,3,4,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
6,3,2,2,1,2,3,4,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
6,3,1,2,1,2,3,4,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
6,3,2,2,1,2,3,7,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
5,5,2,1,1,4,3,7,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
6,4,5,3,1,2,3,5,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
4,5,4,4,1,3,4,6,5,17,karl; mäger; luuletaja; eesti; muru; antoloogia; betti; mart; gustav; paul-eerik; rummo; luulealbum
1,6,3,4,1,3,3,6,6,17,karl; mäger; luuletaja; eesti; muru; betti; antoloogia; mart; gustav; paul-eerik; rummo; luulealbum
1,4,5,5,1,3,3,4,8,17,mäger; antoloogia; mart; paul-eerik; luulealbum; karl; luuletaja; eesti; muru; betti; gustav; rummo
