EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,4,2,1,5,2,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,4,2,1,5,2,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,4,2,1,5,2,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,4,2,1,5,2,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,4,2,1,5,2,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,3,2,1,5,2,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,3,2,1,4,3,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
3,2,4,2,1,4,3,3,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
4,2,3,2,1,4,3,2,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
4,2,6,2,2,4,3,2,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
5,2,5,2,3,3,3,2,1,13,tehnoloogia; kristjan; uudis; port; aeg; internet; surfaja
