EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,3,3,4,3,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,3,1,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,4,1,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,5,0,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
4,5,5,0,3,4,4,3,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
