EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
2,3,5,3,2,4,5,2,0,12,kriska; narva; kivi; aivar; keraamika; savinõu
