EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,0,3,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
0,0,4,2,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
0,0,4,3,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
0,0,4,3,1,3,3,3,1,12,portaal; kristjan; nobeli; armutu; port
1,1,4,4,1,4,3,3,1,12,portaal; kristjan; nobeli; armutu; port
