EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
5,4,5,4,3,6,4,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
