EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,6,1,3,3,5,2,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,3,6,1,2,3,5,2,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,3,6,1,2,3,5,2,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,3,6,1,2,3,5,2,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
6,3,5,1,2,3,5,2,0,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
6,3,5,1,2,3,5,2,0,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,3,8,4,2,4,6,2,0,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
5,3,6,4,3,4,6,2,0,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,3,5,3,3,5,7,2,0,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
2,3,5,2,3,5,6,2,0,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
1,4,4,2,3,4,7,2,0,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
