EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
1,3,3,5,5,4,5,3,0,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
